,Produit,Baseline (14-Feb-2020),Price (Latest date),Variation,Année,Mois
0,Fruit et Légume,1502.14,1502.14,0.0,2020,02
1,Fruit et Légume,234.11,234.11,0.0,2020,02
2,Fruit et Légume,4.07,4.07,0.0,2020,02
3,Fruit et Légume,4.83,4.83,0.0,2020,02
4,Fruit et Légume,66.22,66.22,0.0,2020,02
5,Fruit et Légume,1.8,1.8,0.0,2020,02
6,Fruit et Légume,98.08,98.08,0.0,2020,02
7,Fruit et Légume,1.5,1.5,0.0,2020,02
8,Fruit et Légume,7.92,7.92,0.0,2020,02
9,Fruit et Légume,69.27,69.27,0.0,2020,02
10,Fruit et Légume,456.41,456.41,0.0,2020,02
11,Fruit et Légume,4.34,4.34,0.0,2020,02
12,Fruit et Légume,2.25,2.25,0.0,2020,02
13,Fruit et Légume,1.36,1.36,0.0,2020,02
14,Fruit et Légume,2.17,2.17,0.0,2020,02
15,Fruit et Légume,1830.12,1830.12,0.0,2020,02
16,Fruit et Légume,163.92,163.92,0.0,2020,02
17,Fruit et Légume,1.88,1.88,0.0,2020,02
18,Fruit et Légume,0.84,0.84,0.0,2020,02
19,Fruit et Légume,3.77,3.77,0.0,2020,02
20,Fruit et Légume,1.72,1.72,0.0,2020,02
21,Fruit et Légume,2.24,2.24,0.0,2020,02
22,Fruit et Légume,3.0,3.0,0.0,2020,02
23,Fruit et Légume,9.24,9.24,0.0,2020,02
24,Fruit et Légume,15.13,15.13,0.0,2020,02
25,Fruit et Légume,5.89,5.89,0.0,2020,02
26,Fruit et Légume,8.0,8.0,0.0,2020,02
27,Fruit et Légume,17.85,17.85,0.0,2020,02
28,Fruit et Légume,3.91,3.91,0.0,2020,02
29,Fruit et Légume,3.94,3.94,0.0,2020,02
30,Fruit et Légume,1079.99,1079.99,0.0,2020,02
31,Fruit et Légume,12.95,12.95,0.0,2020,02
32,Fruit et Légume,1502.14,1502.14,0.0,2020,02
33,Fruit et Légume,1351.27,1351.27,0.0,2020,02
34,Fruit et Légume,6.21,6.21,0.0,2020,02
35,Fruit et Légume,6043.18,6043.18,0.0,2020,02
36,Fruit et Légume,273.47,273.47,0.0,2020,02
37,Fruit et Légume,2313.64,2313.64,0.0,2020,02
38,Fruit et Légume,4.22,4.22,0.0,2020,02
39,Fruit et Légume,6.48,6.48,0.0,2020,02
40,Fruit et Légume,8.77,8.77,0.0,2020,02
41,Fruit et Légume,1.81,1.81,0.0,2020,02
42,Fruit et Légume,30.85,30.85,0.0,2020,02
43,Fruit et Légume,2.29,2.29,0.0,2020,02
44,Fruit et Légume,749.57,749.57,0.0,2020,02
45,Fruit et Légume,22.44,22.44,0.0,2020,02
46,Fruit et Légume,18.38,18.38,0.0,2020,02
47,Fruit et Légume,120.51,120.51,0.0,2020,02
48,Fruit et Légume,259.43,259.43,0.0,2020,02
49,Fruit et Légume,2.06,2.06,0.0,2020,02
50,Fruit et Légume,23.48,23.48,0.0,2020,02
51,Fruit et Légume,1.64,1.64,0.0,2020,02
52,Fruit et Légume,1.06,1.06,0.0,2020,02
53,Fruit et Légume,4.07,4.07,0.0,2020,02
54,Fruit et Légume,1.98,1.98,0.0,2020,02
55,Fruit et Légume,4.92,4.92,0.0,2020,02
56,Fruit et Légume,2.56,2.56,0.0,2020,02
57,Fruit et Légume,23.31,23.31,0.0,2020,02
58,Fruit et Légume,1252.88,1252.88,0.0,2020,02
59,Fruit et Légume,1.78,1.78,0.0,2020,02
60,Fruit et Légume,2.61,2.61,0.0,2020,02
61,Fruit et Légume,3.45,3.45,0.0,2020,02
62,Fruit et Légume,9.71,9.71,0.0,2020,02
63,Fruit et Légume,1.33,1.33,0.0,2020,02
64,Fruit et Légume,125.69,125.69,0.0,2020,02
65,Fruit et Légume,2000.67,2000.67,0.0,2020,02
66,Fruit et Légume,1.4,1.4,0.0,2020,02
67,Fruit et Légume,11.45,11.45,0.0,2020,02
68,Fruit et Légume,30.03,30.03,0.0,2020,02
69,Fruit et Légume,17.05,17.05,0.0,2020,02
70,Fruit et Légume,901.31,901.31,0.0,2020,02
71,Fruit et Légume,27.87,27.87,0.0,2020,02
72,Fruit et Légume,2.46,2.46,0.0,2020,02
73,Fruit et Légume,8.94,8.94,0.0,2020,02
74,Fruit et Légume,2.34,2.34,0.0,2020,02
75,Fruit et Légume,319.04,319.04,0.0,2020,02
76,Fruit et Légume,33967.19,33967.19,0.0,2020,02
77,Fruit et Légume,1.31,1.31,0.0,2020,02
78,Fruit et Légume,132.56,132.56,0.0,2020,02
79,Fruit et Légume,2.1,2.1,0.0,2020,02
80,Fruit et Légume,1.33,1.33,0.0,2020,02
81,Fruit et Légume,1372.3,1372.3,0.0,2020,02
82,Fruit et Légume,306.62,306.62,0.0,2020,02
83,Fruit et Légume,9.81,9.81,0.0,2020,02
84,Fruit et Légume,1.76,1.76,0.0,2020,02
85,Fruit et Légume,908.78,908.78,0.0,2020,02
86,Fruit et Légume,1.38,1.38,0.0,2020,02
87,Fruit et Légume,738.89,738.89,0.0,2020,02
88,Fruit et Légume,470.76,470.76,0.0,2020,02
89,Fruit et Légume,253.04,253.04,0.0,2020,02
90,Fruit et Légume,59.05,59.05,0.0,2020,02
91,Fruit et Légume,3.55,3.55,0.0,2020,02
92,Fruit et Légume,7854.6,7854.6,0.0,2020,02
93,Fruit et Légume,0.59,0.59,0.0,2020,02
94,Fruit et Légume,4.0,4.0,0.0,2020,02
95,Fruit et Légume,1.84,1.84,0.0,2020,02
96,Fruit et Légume,9.8,9.8,0.0,2020,02
97,Fruit et Légume,14.64,14.64,0.0,2020,02
98,Fruit et Légume,399.26,399.26,0.0,2020,02
99,Fruit et Légume,25.01,25.01,0.0,2020,02
100,Fruit et Légume,0.83,0.83,0.0,2020,02
101,Fruit et Légume,2.39,2.39,0.0,2020,02
102,Fruit et Légume,1.05,1.05,0.0,2020,02
103,Fruit et Légume,36.16,36.16,0.0,2020,02
104,Fruit et Légume,12.32,12.32,0.0,2020,02
105,Fruit et Légume,1.5,1.5,0.0,2020,02
106,Fruit et Légume,12.84,12.84,0.0,2020,02
107,Fruit et Légume,4463.92,4463.92,0.0,2020,02
108,Fruit et Légume,39.05,39.05,0.0,2020,02
109,Fruit et Légume,40.65,40.65,0.0,2020,02
110,Fruit et Légume,2.55,2.55,0.0,2020,02
111,Fruit et Légume,2.34,2.34,0.0,2020,02
112,Fruit et Légume,0.8,0.8,0.0,2020,02
113,Fruit et Légume,5793.67,5793.67,0.0,2020,02
114,Fruit et Légume,133.31,133.31,0.0,2020,02
115,Fruit et Légume,769.6,769.6,0.0,2020,02
116,Fruit et Légume,73.96,73.96,0.0,2020,02
117,Fruit et Légume,2971.77,2971.77,0.0,2020,02
118,Fruit et Légume,9.74,9.74,0.0,2020,02
119,Fruit et Légume,27.92,27.92,0.0,2020,02
120,Fruit et Légume,457.04,457.04,0.0,2020,02
121,Fruit et Légume,1054.34,1054.34,0.0,2020,02
122,Fruit et Légume,6.37,6.37,0.0,2020,02
123,Fruit et Légume,2.26,2.26,0.0,2020,02
124,Fruit et Légume,28.28,28.28,0.0,2020,02
125,Fruit et Légume,199.38,199.38,0.0,2020,02
126,Fruit et Légume,3.54,3.54,0.0,2020,02
127,Fruit et Légume,0.89,0.89,0.0,2020,02
128,Fruit et Légume,170.66,170.66,0.0,2020,02
129,Fruit et Légume,3.27,3.27,0.0,2020,02
130,Fruit et Légume,5.32,5.32,0.0,2020,02
131,Fruit et Légume,120.53,120.53,0.0,2020,02
132,Fruit et Légume,10.45,10.45,0.0,2020,02
133,Fruit et Légume,2.97,2.97,0.0,2020,02
134,Fruit et Légume,5.73,5.73,0.0,2020,02
135,Fruit et Légume,1.54,1.54,0.0,2020,02
136,Fruit et Légume,11181.28,11181.28,0.0,2020,02
137,Fruit et Légume,6.2,6.2,0.0,2020,02
138,Fruit et Légume,7.14,7.14,0.0,2020,02
139,Fruit et Légume,2.33,2.33,0.0,2020,02
140,Fruit et Légume,3.67,3.67,0.0,2020,02
141,Fruit et Légume,86.88,86.88,0.0,2020,02
142,Fruit et Légume,3893.65,3893.65,0.0,2020,02
143,Fruit et Légume,6.95,6.95,0.0,2020,02
